ID,Name,Founded_Year,Country,Studio_Type,Replay_Rate,Years_Active,Maturity_Level
1867,Lucky Jump Games,2005,Japan,Mobile,0.708,20,Established
1868,Ludeon Studios,2017,Finland,Indie,0.767,8,Emerging
1869,Ludia,2006,United Kingdom,Mid-tier,0.525,19,Established
1870,Ludosity,2009,Finland,Indie,0.391,16,Established
1871,Luis Antonio,2020,Finland,Indie,0.695,5,Emerging
1872,Lukewarm Media,2007,Finland,Indie,0.402,18,Established
1873,Lumenox,2011,Canada,Indie,0.562,14,Emerging
1874,Luminaria,1991,United States,Indie,0.648,34,Veteran
1875,Luminous Productions,2016,Canada,Indie,0.413,9,Emerging
1876,Lunime,2013,Canada,Indie,0.529,12,Emerging
1877,Lupus Studios Limited,2012,United Kingdom,Indie,0.711,13,Emerging
1878,Luxoflux,1996,United States,Indie,0.502,29,Established
1879,M-TWO,2013,United States,Indie,0.556,12,Emerging
1880,M2,1991,United Kingdom,Indie,0.515,34,Veteran
1881,M2H,2013,Finland,Indie,0.31,12,Emerging
1882,M4,2000,Finland,Indie,0.526,25,Established
1883,MADFINGER Games,2005,Finland,Mobile,0.674,20,Established
1884,MADrigal,2015,Canada,Indie,0.408,10,Emerging
1885,MAG Studios,2010,Sweden,Indie,0.576,15,Established
1886,MAGES.,2016,United States,Indie,0.746,9,Emerging
1887,MAGES. Inc.,2020,United States,Indie,0.573,5,Emerging
1888,MAIET Entertainment,2003,Finland,Indie,0.741,22,Established
1889,MARS Corporation,1988,Sweden,Indie,0.495,37,Veteran
1890,MC2,1997,Sweden,Indie,0.391,28,Established
1891,MECC,1983,United States,Indie,0.763,42,Veteran
1892,MGA Entertainment,1995,Sweden,Indie,0.735,30,Veteran
1893,MGM,2008,United States,Indie,0.358,17,Established
1894,MGM Interactive,1999,United States,Mid-tier,0.653,26,Established
1895,MJ Lovegrove,2014,Sweden,Indie,0.212,11,Emerging
1896,MLB.com,2018,Canada,Indie,0.667,7,Emerging
1897,MMod Team,1984,Canada,AAA,0.726,41,Veteran
1898,MOBIRIX,2011,France,Mid-tier,0.52,14,Emerging
1899,MONKEYCRAFT Co. Ltd,2017,Finland,Indie,0.538,8,Emerging
1900,MOSS Co.,1987,France,AAA,0.823,38,Veteran
1901,MP Entertainment,1997,United States,Indie,0.577,28,Established
1902,MP2 Games,2011,United Kingdom,Mid-tier,0.522,14,Emerging
1903,MPS Labs,1984,United Kingdom,Indie,0.437,41,Veteran
1904,MY.GAMES,1995,Canada,Indie,0.405,30,Veteran
1905,MacSoft Games,1998,United Kingdom,Indie,0.53,27,Established
1906,MachineGames,2009,United States,Mobile,0.794,16,Established
1907,MachineZone,2015,United States,Indie,0.415,10,Emerging
1908,Macrospace,1999,Finland,Indie,0.357,26,Established
1909,Mad Doc Software,1998,Sweden,Indie,0.534,27,Established
1910,Mad Orange,2011,United Kingdom,Indie,0.513,14,Emerging
1911,Mad Vulture Games,2016,Sweden,Indie,0.31,9,Emerging
1912,MadMan Theory Games,2010,Finland,Mobile,0.672,15,Established
1913,Madaboutgames,2015,Finland,Mobile,0.461,10,Emerging
1914,Maddy Makes Games,2009,United States,Mobile,0.637,16,Established
1915,Madlab Software,1990,United Kingdom,Indie,0.449,35,Veteran
1916,Maelstrom Games Ltd,1992,Germany,Mid-tier,0.581,33,Veteran
1917,Magenta Software,2000,Canada,Indie,0.371,25,Established
1918,Magic Design Studios,2018,United Kingdom,Indie,0.84,7,Emerging
1919,Magic Digital Studio,2016,Canada,Indie,0.413,9,Emerging
1920,Magic Games,1993,United States,Mobile,0.593,32,Veteran
1921,Magic Pockets,1993,Canada,Indie,0.542,32,Veteran
1922,Magic Wand Productions,2014,United Kingdom,Indie,0.339,11,Emerging
1923,MagicIndie,2010,Sweden,Indie,0.37,15,Established
1924,Magnavox,1970,Sweden,Indie,0.42,55,Veteran
1925,Magnetic Fields,1988,Canada,Indie,0.659,37,Veteran
1926,Magnificent 7,1983,United Kingdom,Indie,0.452,42,Veteran
1927,Maitan69,2018,United States,Indie,0.666,7,Emerging
1928,Make Software,1988,Canada,Indie,0.534,37,Veteran
1929,Malibu Interactive,1991,Sweden,Indie,0.728,34,Veteran
1930,Mane6,2015,Sweden,Indie,0.804,10,Emerging
1931,Mangledmaw Games,1990,United States,Mid-tier,0.6,35,Veteran
1932,Manley and Associates Inc,1991,United Kingdom,Indie,0.269,34,Veteran
1933,MansterSoft,2016,United States,Indie,0.661,9,Emerging
1934,Marevo Collective,2015,France,Mid-tier,0.712,10,Emerging
1935,Marina Kittaka,1999,United States,Indie,0.363,26,Established
1936,Marmalade Game Studio,2015,Finland,Indie,0.562,10,Emerging
1937,Marvelous,2013,United States,Indie,0.374,12,Emerging
1938,Marvelous Entertainment,2013,United Kingdom,Indie,0.587,12,Emerging
1939,Marvelous First Studio,2017,Finland,Indie,0.674,8,Emerging
1940,Marvelous Interactive,2002,United States,Indie,0.376,23,Established
1941,Masaya,1992,Finland,Indie,0.819,33,Veteran
1942,Mason Lindroth,2011,Canada,Indie,0.402,14,Emerging
1943,Mass Media Inc,1995,United States,Indie,0.562,30,Veteran
1944,Massive Bear Studios,2006,Finland,Indie,0.7,19,Established
1945,Massive Development,1994,United States,Indie,0.894,31,Veteran
1946,Massive Entertainment,1999,United States,Indie,0.691,26,Established
1947,Massive Monster,2016,United States,Indie,0.837,9,Emerging
1948,Mastfire Studios,2013,Canada,Indie,0.617,12,Emerging
1949,Matheus Valadares,2011,Finland,Indie,0.679,14,Emerging
1950,Matrix Software,1992,United States,Indie,0.726,33,Veteran
1951,Matt Dabrowski,2014,Sweden,Indie,0.363,11,Emerging
1952,Mattel Electronics,1977,Finland,Indie,0.353,48,Veteran
1953,Matthias Magnussen,2012,Finland,Indie,0.509,13,Emerging
1954,Max Games,1998,United Kingdom,Mid-tier,0.75,27,Established
1955,Maximum Games,2011,Finland,Mobile,0.455,14,Emerging
1956,Maxis,1988,United Kingdom,Indie,0.68,37,Veteran
1957,Maze Theory,2016,Finland,Indie,0.391,9,Emerging
1958,McDonald's,2021,Finland,Indie,0.382,4,Emerging
1959,Meadows Games,1973,Japan,Mobile,0.649,52,Veteran
1960,Mechadeus,1989,Sweden,Indie,0.532,36,Veteran
1961,Mechanic Arms,2001,Sweden,Indie,0.32,24,Established
1962,Mechanical Head Studios,2019,Canada,Indie,0.517,6,Emerging
1963,Media Molecule,2007,Finland,Indie,0.437,18,Established
1964,Media Station,1989,Sweden,Indie,0.795,36,Veteran
1965,Media.Vision,1995,United Kingdom,Indie,0.563,30,Veteran
1966,Mediamond,1995,United States,Indie,0.354,30,Veteran
1967,Mediatonic,2008,United States,Indie,0.789,17,Established
1968,Mediocre,2012,United States,Indie,0.582,13,Emerging
1969,Mediocre AB,2011,Finland,Indie,0.847,14,Emerging
1970,Mega Crit Games,2021,China,Mobile,0.504,4,Emerging
1971,Mega Enterprise,1970,United States,AAA,0.76,55,Veteran
1972,Megatoon Studios,1992,Sweden,Indie,0.586,33,Veteran
1973,Megatube,2003,Canada,Indie,0.599,22,Established
1974,Melbourne House,2016,Sweden,Indie,0.52,9,Emerging
1975,Melesta,2005,Canada,Indie,0.461,20,Established
1976,Melos Han-Tani,2003,Sweden,Indie,0.431,22,Established
1977,Mercenary Technology,2012,United Kingdom,Indie,0.343,13,Emerging
1978,MercurySteam,2003,Finland,Indie,0.683,22,Established
1979,Merge Games,2010,United Kingdom,Indie,0.774,15,Established
1980,Meridian4,2002,Canada,Indie,0.45,23,Established
1981,Merit Studios,1996,Finland,Indie,0.762,29,Established
1982,Mesa Logic,1996,Sweden,Indie,0.772,29,Established
1983,Messhof,2013,United States,Indie,0.506,12,Emerging
1984,Metalhead Software,2009,United States,Indie,0.568,16,Established
1985,Meteorise,2012,United States,Indie,0.597,13,Emerging
1986,Metro Corporation,2001,Canada,Indie,0.342,24,Established
1987,Metronomik,2017,United States,Indie,0.465,8,Emerging
1988,Metropolis Software,1989,United Kingdom,Indie,0.643,36,Veteran
1989,Mi'pu'mi Games,2015,China,Mobile,0.726,10,Emerging
1990,MiCROViSion,1999,United States,Indie,0.523,26,Established
1991,Michael Denio,1983,United States,Indie,0.578,42,Veteran
1992,Michael Lasch,1997,United States,AAA,0.758,28,Established
1993,Michael P. Welch,1997,Canada,Indie,0.542,28,Established
1994,Michaela Laws,2010,United Kingdom,Indie,0.68,15,Established
1995,Micro Forté,1996,United States,Indie,0.314,29,Established
1996,Micro Games of America,1982,Japan,Mobile,0.704,43,Veteran
1997,MicroGraphicImage,1983,Sweden,Indie,0.645,42,Veteran
1998,MicroProse,2011,Canada,Indie,0.655,14,Emerging
1999,MicroProse Software,1971,United Kingdom,AAA,0.899,54,Veteran
2000,Microdeal,1986,Sweden,Indie,0.54,39,Veteran
2001,Microids,2001,Finland,Indie,0.768,24,Established
2002,Microids Studio Lyon,2019,Canada,Indie,0.517,6,Emerging
2003,Microids Studio Paris,1999,Finland,Indie,0.695,26,Established
2004,Micromosaics,1984,Finland,Indie,0.635,41,Veteran
2005,Micronics,2007,United Kingdom,Mid-tier,0.832,18,Established
2006,Microsoft,1975,United States,AAA,0.9,50,Veteran
2007,Microsoft Casual Games,1975,United States,AAA,0.703,50,Veteran
2008,Microsoft Corporation,1975,United States,AAA,0.773,50,Veteran
2009,Microsoft Game Studios,1975,United States,AAA,0.779,50,Veteran
2010,Microsoft Home,1975,United States,AAA,0.95,50,Veteran
2011,Microsoft Studios,1975,United States,AAA,0.716,50,Veteran
2012,Microsphere Computer Services Ltd.,1980,Canada,Indie,0.563,45,Veteran
2013,Microïds Canada,2000,United States,Indie,0.846,25,Established
2014,MidBoss,2014,Finland,Indie,0.683,11,Emerging
2015,Midgar Studio,2019,Finland,Indie,0.552,6,Emerging
2016,Midway,1988,United States,Indie,0.579,37,Veteran
2017,Midway Amusement Games,2002,United States,Indie,0.716,23,Established
2018,Midway Chicago,1993,United Kingdom,Mid-tier,0.59,32,Veteran
2019,Midway Games,1989,Finland,Mobile,0.452,36,Veteran
2020,Midway Games West,1995,South Korea,Mobile,0.672,30,Veteran
2021,Midway Home Entertainment,1999,Japan,AAA,0.857,26,Established
2022,Midway Manufacturing,1975,United States,Indie,0.372,50,Veteran
2023,Midway Studios Austin,2006,United States,Indie,0.601,19,Established
2024,Midway Studios Los Angeles,1996,United Kingdom,Indie,0.591,29,Established
2025,Midway Studios Newcastle,2003,United Kingdom,Indie,0.625,22,Established
2026,Midway Studios San Diego,2015,Canada,Indie,0.847,10,Emerging
2027,Migami Games,2017,United States,Mobile,0.501,8,Emerging
2028,Mighty Polygon,2015,Sweden,Indie,0.385,10,Emerging
2029,Mighty Rabbit Studios,2007,United States,Indie,0.612,18,Established
2030,Mike Singleton,2007,Finland,Indie,0.632,18,Established
2031,Milestone,1993,Canada,Indie,0.441,32,Veteran
2032,Milky Tea Studios,1998,Canada,Indie,0.534,27,Established
2033,Millennium Interactive,1998,Canada,AAA,0.876,27,Established
2034,Million,1998,United States,Indie,0.49,27,Established
2035,Mimimi Games,2013,South Korea,Mobile,0.604,12,Emerging
2036,Minakuchi Engineering,1990,Sweden,Indie,0.762,35,Veteran
2037,Mind's Eye,2002,Sweden,Indie,0.538,23,Established
2038,MindSpan,1990,Finland,Indie,0.383,35,Veteran
2039,Mindillusion,2015,Finland,Indie,0.789,10,Emerging
2040,Mindsai Productions,2000,Finland,Indie,0.792,25,Established
2041,Mindscape,1989,United Kingdom,Indie,0.837,36,Veteran
2042,Mindware Studios,2003,United Kingdom,Indie,0.456,22,Established
2043,Mine Loader Software Co.,2008,France,Mid-tier,0.554,17,Established
2044,MiniVisions,2018,Japan,Mobile,0.525,7,Emerging
2045,Minority,2011,Canada,Indie,0.459,14,Emerging
2046,Minskworks,2014,United Kingdom,Indie,0.633,11,Emerging
2047,Mirage Interactive,1995,United States,Indie,0.742,30,Veteran
2048,Mirage Technologies,1996,United Kingdom,Indie,0.489,29,Established
2049,Mister Morris Games,2018,Japan,Mobile,0.69,7,Emerging
2050,Mistic Software,1977,United States,Legacy,0.796,48,Veteran
2051,Mistic Studios,2003,United Kingdom,Mid-tier,0.827,22,Established
2052,Mistwalker,2017,Sweden,Indie,0.535,8,Emerging
2053,Mob Entertainment,2019,United Kingdom,Indie,0.54,6,Emerging
2054,Mobge Ltd,2013,Sweden,Indie,0.651,12,Emerging
2055,Mobile21,1996,Finland,Mobile,0.451,29,Established
2056,Mobius Digital,2016,United Kingdom,Indie,0.759,9,Emerging
2057,Mobius Entertainment,1998,Sweden,Indie,0.589,27,Established
2058,ModRetro,2023,United States,Indie,0.631,2,Emerging
2059,Modern Dreams,2012,Sweden,Indie,0.507,13,Emerging
2060,Modern Storyteller,2017,United States,Indie,0.408,8,Emerging
2061,Moi Rai Games,2018,Finland,Mobile,0.7,7,Emerging
2062,Mojang Studios,2009,Sweden,Indie,0.492,16,Established
2063,MojoTouch,2023,Sweden,Indie,0.793,2,Emerging
2064,Monkey Bar Games,2002,China,Mobile,0.637,23,Established
2065,Monochrome,2005,Sweden,Indie,0.329,20,Established
2066,Monolith Productions,1996,United Kingdom,Mid-tier,0.557,29,Established
2067,Monolith Soft,1997,Sweden,Indie,0.571,28,Established
2068,Monomi Games,2013,Finland,Mobile,0.569,12,Emerging
2069,Monstars Inc.,2008,United States,AAA,0.77,17,Established
2070,Monster Games,1997,China,Mobile,0.784,28,Established
2071,Monumental Games,2009,Finland,Mobile,0.715,16,Established
2072,Moon Studios,2011,Finland,Indie,0.603,14,Emerging
2073,Moonbite Games,2009,South Korea,Mobile,0.551,16,Established
2074,Mooneye Studios,2016,United States,Indie,0.593,9,Emerging
2075,Moonsprout Games,2014,United States,Mobile,0.729,11,Emerging
2076,Moonton,2013,United Kingdom,Indie,0.376,12,Emerging
2077,Moppin,2013,Sweden,Indie,0.817,12,Emerging
2078,Morning Person Games,2018,Japan,Mobile,0.766,7,Emerging
2079,Morning Star Multimedia,1998,United Kingdom,Indie,0.576,27,Established
2080,Mortal Kombat Team,2018,United States,Mobile,0.613,7,Emerging
2081,Morteshka,2017,United Kingdom,Indie,0.631,8,Emerging
2082,Mossmouth,2020,United Kingdom,Indie,0.552,5,Emerging
2083,Most Wanted Entertainment,1972,United States,AAA,0.79,53,Veteran
2084,Motiga,2015,United Kingdom,Indie,0.547,10,Emerging
2085,Motion Twin,2012,Japan,Mid-tier,0.663,13,Emerging
2086,Motion Works,1992,Canada,Indie,0.66,33,Veteran
2087,Motive Studios,2017,Canada,Indie,0.8,8,Emerging
2088,MotiveTime Ltd,1998,United Kingdom,Indie,0.505,27,Established
2089,MotiveTime Ltd.,1987,Finland,Indie,0.659,38,Veteran
2090,MottZilla,2008,Finland,Indie,0.453,17,Established
2091,Mountains,2015,United States,Indie,0.702,10,Emerging
2092,Movie Games Lunarium,2014,Japan,Mobile,0.658,11,Emerging
2093,Moving Dimensions,2016,United States,Indie,0.727,9,Emerging
2094,MrBean35000vr,2009,Finland,Indie,0.576,16,Established
2095,Mucky Foot Productions,1997,United States,Indie,0.798,28,Established
2096,Multiverse ApS,2008,Sweden,Indie,0.446,17,Established
2097,MumboJumbo,1998,United States,Indie,0.546,27,Established
2098,Muse Games,2007,United States,Mobile,0.527,18,Established
2099,Muse Software,1980,United Kingdom,Indie,0.413,45,Veteran
2100,MuuMuu,1992,Japan,Mid-tier,0.615,33,Veteran
2101,My.com,2017,United States,Indie,0.696,8,Emerging
2102,Mylstar,1983,Canada,Indie,0.446,42,Veteran
2103,Mylstar Electronics,1979,United Kingdom,Indie,0.677,46,Veteran
2104,Mynet Games,2006,Canada,Indie,0.477,19,Established
2105,Mystique,1977,United States,Indie,0.503,48,Veteran
2106,Mythic Entertainment,1997,Finland,Indie,0.82,28,Established
2107,Mythos Games,1990,China,Mobile,0.553,35,Veteran
2108,N-Fusion Interactive,2003,United Kingdom,Indie,0.658,22,Established
2109,N.H. System,2002,United Kingdom,Mid-tier,0.69,23,Established
2110,NASPAPA GAMES,2015,Japan,Mobile,0.643,10,Emerging
2111,NCS Corporation,1988,Sweden,Indie,0.566,37,Veteran
2112,NCSOFT,1997,Sweden,Indie,0.381,28,Established
2113,ND Games,2007,United Kingdom,Indie,0.302,18,Established
2114,NDCube,2009,Finland,Indie,0.419,16,Established
2115,NEON Software,1992,United States,Indie,0.466,33,Veteran
2116,NExT Studios,2015,United States,Indie,0.393,10,Emerging
2117,NHN,2022,Canada,Indie,0.642,3,Emerging
2118,NITRO PLUS,2012,United Kingdom,Indie,0.692,13,Emerging
2119,NMK Co. Ltd.,1987,United Kingdom,Indie,0.669,38,Veteran
2120,NMS Software,1994,United States,Indie,0.505,31,Veteran
2121,NOVECT,2011,United States,Indie,0.599,14,Emerging
2122,NOW Production,1985,Finland,Indie,0.691,40,Veteran
2123,NSquare,2012,Japan,Indie,0.665,13,Emerging
2124,Nadeo,2012,United Kingdom,Indie,0.538,13,Emerging
2125,Naked Sky Entertainment,2006,United States,Indie,0.588,19,Established
2126,Namco,1976,Japan,Indie,0.536,49,Veteran
2127,Namco Bandai Games,2001,Japan,Mobile,0.75,24,Established
2128,Namco Hometek,1995,Japan,Indie,0.496,30,Veteran
2129,Namco Limited,1977,Japan,Indie,0.66,48,Veteran
2130,Namco Mobile,2020,Japan,Mobile,0.617,5,Emerging
2131,Namco Tales Studio,2003,Japan,Indie,0.803,22,Established
2132,NanaOn-Sha,1995,Canada,Indie,0.847,30,Veteran
2133,Naps Team,1998,United States,Indie,0.759,27,Established
2134,Natsume Co.,2004,France,Mid-tier,0.608,21,Established
2135,Natsume Inc.,1993,United Kingdom,Indie,0.399,32,Veteran
2136,Naughty Dog,1992,United Kingdom,Mid-tier,0.906,33,Veteran
2137,Nautilus,1999,United Kingdom,Indie,0.408,26,Established
2138,Nazca Corporation,1995,United States,Indie,0.884,30,Veteran
2139,Nearga,1987,Canada,Indie,0.743,38,Veteran
2140,Necrophone Games,2011,China,Mobile,0.626,14,Emerging
2141,Neil Yates,2004,Finland,Indie,0.424,21,Established
2142,Nekki,2007,Canada,Indie,0.823,18,Established
2143,Neko Entertainment,2005,Finland,Indie,0.753,20,Established
2144,Nelson Sexton,2008,Finland,Indie,0.535,17,Established
2145,Nelsonic Industries,1989,Sweden,Indie,0.496,36,Veteran
2146,NeoBards Entertainment,2015,United Kingdom,Indie,0.246,10,Emerging
2147,Neoclassic Games,2015,Japan,Mobile,0.449,10,Emerging
2148,NeocoreGames,2011,Japan,Mobile,0.43,14,Emerging
2149,Neonchimp Games,2014,United States,Mobile,0.589,11,Emerging
2150,Neople,2001,Canada,Indie,0.759,24,Established
2151,Neowiz Bless Studio,2014,United Kingdom,Indie,0.397,11,Emerging
2152,Nerial,2016,Sweden,Indie,0.322,9,Emerging
2153,Nerve Software,1996,Germany,Mid-tier,0.63,29,Established
2154,NetDevil,2007,United States,Indie,0.426,18,Established
2155,NetEase Games,2013,Japan,Mobile,0.572,12,Emerging
2156,NetherRealm Studios,2008,Sweden,Indie,0.444,17,Established
2157,Netherock Ltd.,2001,United Kingdom,Indie,0.586,24,Established
2158,Netmarble Games,2011,United States,Mobile,0.714,14,Emerging
2159,Neverland,1992,Finland,Indie,0.412,33,Veteran
2160,Neversoft Entertainment,1997,Finland,Indie,0.811,28,Established
2161,New Generation Software Ltd.,1981,Canada,Indie,0.845,44,Veteran
2162,New World Computing,1987,Sweden,Indie,0.546,38,Veteran
2163,Nex Entertainment,2003,United Kingdom,Indie,0.438,22,Established
2164,Nexa Corporation,1985,United Kingdom,Indie,0.429,40,Veteran
2165,Nexile,2014,Canada,Indie,0.826,11,Emerging
2166,Next Games,2011,United States,Mobile,0.454,14,Emerging
2167,Next Level Games,2002,United States,Mobile,0.425,23,Established
2168,Nextech,1995,Sweden,Indie,0.689,30,Veteran
2169,Nextech Entertainment,1993,United Kingdom,Indie,0.475,32,Veteran
2170,Nextwave Multimedia,2011,Canada,Indie,0.453,14,Emerging
2171,Nexus Game Studios,2013,Sweden,Indie,0.502,12,Emerging
2172,Niantic Labs,2018,United States,Indie,0.768,7,Emerging
2173,Nicalis,1989,Japan,Mid-tier,0.72,36,Veteran
2174,Nice Code Software,2001,United States,Indie,0.759,24,Established
2175,Nichibutsu,1981,United States,Indie,0.688,44,Veteran
2176,Nick Games,2003,Finland,Mobile,0.673,22,Established
2177,NickB,2011,United Kingdom,Indie,0.352,14,Emerging
2178,Nickelodeon,2003,Finland,Indie,0.634,22,Established
2179,Nicolas Meyssonnier,2016,Sweden,Indie,0.771,9,Emerging
2180,Nifflas Games,1988,United Kingdom,Mid-tier,0.676,37,Veteran
2181,Nifflas' Games,2010,United Kingdom,Mid-tier,0.775,15,Established
2182,Night Light Interactive,2013,Finland,Indie,0.685,12,Emerging
2183,Night School Studio,2015,United Kingdom,Indie,0.383,10,Emerging
2184,Nightdive Studios,2010,United States,Indie,0.531,15,Established
2185,Nighthawk Interactive,2016,United Kingdom,Indie,0.656,9,Emerging
2186,Nihilistic Software,1998,Canada,Indie,0.731,27,Established
2187,Nihon Bussan,1998,Sweden,Indie,0.52,27,Established
2188,Nihon Falcom,1990,Sweden,Indie,0.38,35,Veteran
2189,Nihon Game,1980,United States,Indie,0.641,45,Veteran
2190,Nihon System,1997,United Kingdom,Indie,0.635,28,Established
2191,Nihon Telenet,1989,Finland,Indie,0.791,36,Veteran
2192,Nikita Kryukov,2015,Finland,Indie,0.413,10,Emerging
2193,Nikson,2022,United Kingdom,Indie,0.78,3,Emerging
2194,NimbleBit,2010,Canada,Indie,0.405,15,Established
2195,Nimbus Games,2012,Sweden,Indie,0.426,13,Emerging
2196,Nine Dots Studio,1995,United States,Indie,0.335,30,Veteran
2197,Ninja Kiwi,2006,Canada,Indie,0.568,19,Established
2198,Ninja Theory,2004,Canada,Indie,0.586,21,Established
2199,NinjaBee,2005,Sweden,Indie,0.358,20,Established
2200,Nintendo,1889,Japan,AAA,0.919,136,Veteran
2201,Nintendo EAD,1889,Japan,AAA,0.933,136,Veteran
2202,Nintendo EAD Software Development Group No.1,1889,Japan,AAA,0.808,136,Veteran
2203,Nintendo EAD Software Development Group No.2,1889,Japan,AAA,0.739,136,Veteran
2204,Nintendo EAD Software Development Group No.3,1889,Japan,AAA,0.928,136,Veteran
2205,Nintendo EAD Software Development Group No.4,1889,Japan,AAA,0.805,136,Veteran
2206,Nintendo EAD Software Development Group No.5,1889,Japan,AAA,0.9,136,Veteran
2207,Nintendo EAD Tokyo Software Development Group No.1,1889,Japan,AAA,0.783,136,Veteran
2208,Nintendo EAD Tokyo Software Development Group No.2,1889,Japan,AAA,0.744,136,Veteran
2209,Nintendo EPD,1889,Japan,AAA,0.9,136,Veteran
2210,Nintendo EPD Production Group No. 10,1889,Japan,AAA,0.808,136,Veteran
2211,Nintendo EPD Production Group No. 3,1889,Japan,AAA,0.735,136,Veteran
2212,Nintendo EPD Production Group No. 5,1889,Japan,AAA,0.877,136,Veteran
2213,Nintendo EPD Production Group No. 8,1889,Japan,AAA,0.927,136,Veteran
2214,Nintendo IRD,1889,Japan,AAA,0.829,136,Veteran
2215,Nintendo R&D1,1889,Japan,AAA,0.75,136,Veteran
2216,Nintendo R&D2,1889,Japan,AAA,0.9,136,Veteran
2217,Nintendo R&D3,1889,Japan,AAA,0.813,136,Veteran
2218,Nintendo R&D4,1889,Japan,AAA,0.897,136,Veteran
2219,Nintendo SPD,1889,Japan,AAA,0.863,136,Veteran
2220,Nintendo SPD Production Group No. 1,1889,Japan,AAA,0.9,136,Veteran
2221,Nintendo SPD Production Group No. 2,1889,Japan,AAA,0.783,136,Veteran
2222,Nintendo SPD Production Group No. 3,1889,Japan,AAA,0.876,136,Veteran
2223,Nintendo SPD Production Group No. 4,1889,Japan,AAA,0.851,136,Veteran
2224,Nintendo SPD Software Development Group,1889,Japan,AAA,0.776,136,Veteran
2225,Nintendo Software Technology,1889,Japan,AAA,0.941,136,Veteran
2226,Nippon Ichi Software,1997,Canada,Indie,0.841,28,Established
2227,Nitro Games,1987,United States,Mid-tier,0.723,38,Veteran
2228,Nival,1996,United Kingdom,Indie,0.607,29,Established
2229,Nival Interactive,1996,United States,Indie,0.721,29,Established
2230,Nixxes Software,2014,United States,Indie,0.566,11,Emerging
2231,No Brakes Games,2014,South Korea,Mobile,0.628,11,Emerging
2232,No Cliché,1997,Finland,Indie,0.761,28,Established
2233,No Code,2014,Sweden,Indie,0.841,11,Emerging
2234,No Goblin,2009,Canada,Indie,0.523,16,Established
2235,No Matter Studios,2016,Finland,Indie,0.318,9,Emerging
2236,No Reply Games,2010,United States,Mobile,0.781,15,Established
2237,NoClip,2011,United Kingdom,Indie,0.356,14,Emerging
2238,Noble Muffins,2016,Finland,Indie,0.478,9,Emerging
2239,Nocturnal Software,1979,Canada,Indie,0.592,46,Veteran
2240,Nodding Heads Games,2019,Finland,Mobile,0.531,6,Emerging
2241,Noio,2016,United Kingdom,Indie,0.515,9,Emerging
2242,Noise,2001,Sweden,Indie,0.45,24,Established
2243,Noise Factory,2012,Japan,Mid-tier,0.656,13,Emerging
2244,Nolla Games,2015,Finland,Mobile,0.569,10,Emerging
2245,Nomada Studio,2017,United Kingdom,Indie,0.563,8,Emerging
2246,Noodlecake Studios,1991,United Kingdom,Mid-tier,0.822,34,Veteran
2247,Norsfell,2018,Finland,Indie,0.521,7,Emerging
2248,Northwood Studios,2013,Canada,Indie,0.504,12,Emerging
2249,Noskov Siergei,2015,Sweden,Indie,0.712,10,Emerging
2250,NotGames,2021,China,Mobile,0.74,4,Emerging
2251,Noumena Studios,2011,United Kingdom,Indie,0.315,14,Emerging
2252,Nova,1986,Sweden,Indie,0.611,39,Veteran
2253,NovaLogic,1992,United Kingdom,Indie,0.521,33,Veteran
2254,Novalicious,1995,Canada,Indie,0.716,30,Veteran
2255,Novarama,2005,Sweden,Indie,0.43,20,Established
2256,Novotrade,1983,Finland,Indie,0.492,42,Veteran
2257,Novotrade International,1992,Finland,Indie,0.35,33,Veteran
2258,Nowhere Studios,2010,Canada,Indie,0.79,15,Established
2259,Nowpro,2004,Finland,Indie,0.85,21,Established
2260,Nu Generation Games,2003,United States,Mobile,0.814,22,Established
2261,NuFX,1994,United Kingdom,Legacy,0.647,31,Veteran
2262,Nucleosys,2003,Sweden,Indie,0.498,22,Established
2263,Nude Maker,2011,Finland,Indie,0.789,14,Emerging
2264,Numantian Games,2012,Finland,Mobile,0.593,13,Emerging
2265,Number None Inc.,2004,United States,Indie,0.514,21,Established
2266,Nvizzio Creations,2014,Canada,Indie,0.669,11,Emerging
2267,Nyamyam,2015,Canada,Indie,0.675,10,Emerging
2268,O-TWO Inc.,1990,United States,AAA,0.787,35,Veteran
2269,OKAM Studio,2015,Sweden,Indie,0.383,10,Emerging
2270,ONE-O-ONE GAMES,2016,Japan,Mobile,0.426,9,Emerging
2271,ORIGAME DIGITAL,2019,United States,Indie,0.684,6,Emerging
2272,OSome Studio,2013,United States,Indie,0.308,12,Emerging
2273,OVERDRIVE,2014,Sweden,Indie,0.765,11,Emerging
2274,Oasis Games,2018,South Korea,Mobile,0.533,7,Emerging
2275,Obscura,2013,Sweden,Indie,0.396,12,Emerging
2276,Obsidian Entertainment,1999,Canada,AAA,0.9,26,Established
2277,Ocean France,1988,France,Mid-tier,0.652,37,Veteran
2278,Ocean Software,1978,United States,Indie,0.764,47,Veteran
2279,Ocelot Society,2014,Canada,Indie,0.789,11,Emerging
2280,Oddworld Inhabitants,1995,Sweden,Indie,0.648,30,Veteran
2281,Office Create,1997,France,Mid-tier,0.74,28,Established
2282,Oh,1985,United Kingdom,AAA,0.809,40,Veteran
2283,OhNoo Studio,2003,France,Mid-tier,0.787,22,Established
2284,Okomotive,2017,Sweden,Indie,0.66,8,Emerging
2285,Old School Games,2009,United States,Mobile,0.323,16,Established
